"anger","fear","disgust","joy","sadness","openness","conscience","extraversion","emotionalRange","hashtag"
0.274,0.035,0.5,0.261,0.098,0.657,0.722,0.815,0.932,"trump"
0.096,0.153,0.165,0.227,0.155,0.199,0.255,0.384,0.39,"bitcoin"
